source,query,mode,status,started_at,result_count,error,raw_response,raw_sha256
openalex,generative AI writing,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=generative+AI+writing&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
openalex,large language model academic writing,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=large+language+model+academic+writing&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
openalex,human AI collaborative writing,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=human+AI+collaborative+writing&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
openalex,LLM writing feedback,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=LLM+writing+feedback&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
openalex,ChatGPT scientific writing,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=ChatGPT+scientific+writing&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
openalex,generative AI prose quality,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=generative+AI+prose+quality&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
openalex,AI-assisted writing evaluation,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=AI-assisted+writing+evaluation&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
openalex,AI writing economics,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=AI+writing+economics&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
openalex,generative AI revision feedback,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=generative+AI+revision+feedback&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
openalex,AI assisted essay revision,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=AI+assisted+essay+revision&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
openalex,human AI co-writing agency ownership,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=human+AI+co-writing+agency+ownership&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
openalex,language model writing feedback evaluation,broad,network-error,2026-08-24T07:18:14+00:00,0,"ConnectionError: HTTPSConnectionPool(host='api.openalex.org', port=443): Max retries exceeded with url: /works?search=language+model+writing+feedback+evaluation&per-page=50 (Caused by NameResolutionError(""HTTPSConnection(host='api.openalex.org', port=443): Failed to resolve 'api.openalex.org' ([Errno -2] Name or service not known)""))",,
