evidence_id,expected_doi,expected_title,expected_year,canonical_doi,canonical_title,canonical_year,title_similarity,status,raw_response,raw_sha256,error
E-INT-001,,Humanvoice internal failure record across five projects,2026,,,,,not-applicable-no-doi,,,
E-INT-002,,Existing humanvoice package audit and calibration,2026,,,,,not-applicable-no-doi,,,
E-EXT-001,10.1126/science.adh2586,Experimental evidence on the productivity effects of generative artificial intelligence,2023,10.1126/science.adh2586,Experimental evidence on the productivity effects of generative artificial intelligence,2023,1.0,verified,raw/evidence-doi-003-e-ext-001.json,6352ab04cb7e9c1dd34524788aaa29e09f0fa13424b87ef9e60e177f1da300e9,
E-EXT-002,10.1145/3491102.3502030,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,2022,10.1145/3491102.3502030,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,2022,1.0,verified,raw/evidence-doi-004-e-ext-002.json,2496af204bd0a451c331c4fe3fe44f82e27e0c64797fc26df527aba8ae202aa9,
E-EXT-003,10.18653/v1/2024.emnlp-main.928,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,2024,10.18653/v1/2024.emnlp-main.928,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,2024,1.0,verified,raw/evidence-doi-005-e-ext-003.json,a42460b68a695be7418fc1871408ead28247197cba2156a5a58a1fcb2dcc492b,
E-EXT-004,10.1126/sciadv.adn5290,Generative AI enhances individual creativity but reduces the collective diversity of novel content,2024,10.1126/sciadv.adn5290,Generative AI enhances individual creativity but reduces the collective diversity of novel content,2024,1.0,verified,raw/evidence-doi-006-e-ext-004.json,3e671fd0b3d66dfe1f33ee232fbd69879812dd260e80208f0f477b44167882a6,
E-EXT-005,10.1038/s41746-023-00819-6,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,2023,10.1038/s41746-023-00819-6,Comparing scientific abstracts generated by ChatGPT to real abstracts with detectors and blinded human reviewers,2023,1.0,verified,raw/evidence-doi-007-e-ext-005.json,aab6e1ffbc400ee6aa65aa5d56e47fcdc579bed7b6db692525a07efa6a003fd0,
E-EXT-006,,"Co-Writing with AI, on Human Terms: Aligning Research with User Demands Across the Writing Process",2025,,,,,not-applicable-no-doi,,,
E-METHOD-001,10.1186/s13643-020-01542-z,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,2021,10.1186/s13643-020-01542-z,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,2021,1.0,verified,raw/evidence-doi-009-e-method-001.json,bc46330c48f0828322828bfc3cd52ec51a1b669c64b424c97b7b265e873cb580,
E-SW-001,,Vale documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-002,,textlint documentation and repository,2026,,,,,not-applicable-no-doi,,,
E-METHOD-002,,OpenAlex search documentation,2026,,,,,not-applicable-no-doi,,,
E-METHOD-003,,Crossref REST API documentation,2026,,,,,not-applicable-no-doi,,,
E-EXT-007,10.18653/v1/2025.acl-long.1254,Help Me Write a Story: Evaluating LLMs' Ability to Generate Writing Feedback,2025,10.18653/v1/2025.acl-long.1254,Help Me Write a Story: Evaluating LLMs’ Ability to Generate Writing Feedback,2025,1.0,verified,raw/evidence-doi-014-e-ext-007.json,0d1f3927eebaadf3b4f20396a13b4210b2c261f47e310e20f1c0730180a552f5,
E-EXT-008,,Using Large Language Models to Assess Young Students' Writing Revisions,2024,,,,,not-applicable-no-doi,,,
