source,query,mode,status,started_at,result_count,error,raw_response,raw_sha256
openalex,generative AI writing,broad,http-429,2026-08-24T14:46:06+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33234,""costUsd"":0.001,""daily",raw/openalex-001.json,3c7b9cdb4577a67baf1ad66878429bd05b36ee6ef869c0689afbee6a77c34ca0
openalex,large language model academic writing,broad,http-429,2026-08-24T14:46:06+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33233,""costUsd"":0.001,""daily",raw/openalex-002.json,c94a170acbd8c035ddb205aac71556197908312c0dbe92ef63101b75081417e9
openalex,human AI collaborative writing,broad,http-429,2026-08-24T14:46:07+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33233,""costUsd"":0.001,""daily",raw/openalex-003.json,c94a170acbd8c035ddb205aac71556197908312c0dbe92ef63101b75081417e9
openalex,LLM writing feedback,broad,http-429,2026-08-24T14:46:07+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33233,""costUsd"":0.001,""daily",raw/openalex-004.json,c94a170acbd8c035ddb205aac71556197908312c0dbe92ef63101b75081417e9
openalex,ChatGPT scientific writing,broad,http-429,2026-08-24T14:46:07+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33233,""costUsd"":0.001,""daily",raw/openalex-005.json,c94a170acbd8c035ddb205aac71556197908312c0dbe92ef63101b75081417e9
openalex,generative AI prose quality,broad,http-429,2026-08-24T14:46:07+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33232,""costUsd"":0.001,""daily",raw/openalex-006.json,50b91f6f6a63ea17a05fb89f5152b5c3098e2acf8cb612d3560ac175a9f62a71
openalex,AI-assisted writing evaluation,broad,http-429,2026-08-24T14:46:08+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33232,""costUsd"":0.001,""daily",raw/openalex-007.json,50b91f6f6a63ea17a05fb89f5152b5c3098e2acf8cb612d3560ac175a9f62a71
openalex,AI writing economics,broad,http-429,2026-08-24T14:46:08+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33232,""costUsd"":0.001,""daily",raw/openalex-008.json,50b91f6f6a63ea17a05fb89f5152b5c3098e2acf8cb612d3560ac175a9f62a71
openalex,generative AI revision feedback,broad,http-429,2026-08-24T14:46:08+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33232,""costUsd"":0.001,""daily",raw/openalex-009.json,50b91f6f6a63ea17a05fb89f5152b5c3098e2acf8cb612d3560ac175a9f62a71
openalex,AI assisted essay revision,broad,http-429,2026-08-24T14:46:08+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33232,""costUsd"":0.001,""daily",raw/openalex-010.json,50b91f6f6a63ea17a05fb89f5152b5c3098e2acf8cb612d3560ac175a9f62a71
openalex,human AI co-writing agency ownership,broad,http-429,2026-08-24T14:46:09+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33231,""costUsd"":0.001,""daily",raw/openalex-011.json,5023b05422483672b30e844f3e49d2bfcd847ccc05d0aa16bbf93ee6e476706f
openalex,language model writing feedback evaluation,broad,http-429,2026-08-24T14:46:09+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33231,""costUsd"":0.001,""daily",raw/openalex-012.json,5023b05422483672b30e844f3e49d2bfcd847ccc05d0aa16bbf93ee6e476706f
openalex,generative AI workplace writing productivity,broad,http-429,2026-08-24T14:46:09+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33231,""costUsd"":0.001,""daily",raw/openalex-013.json,5023b05422483672b30e844f3e49d2bfcd847ccc05d0aa16bbf93ee6e476706f
openalex,AI academic writing systematic review,broad,http-429,2026-08-24T14:46:09+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33231,""costUsd"":0.001,""daily",raw/openalex-014.json,5023b05422483672b30e844f3e49d2bfcd847ccc05d0aa16bbf93ee6e476706f
openalex,AI writing disclosure authorship,broad,http-429,2026-08-24T14:46:10+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33230,""costUsd"":0.001,""daily",raw/openalex-015.json,f5a300bfb70ecf40cf1cf4b3151fef798835b262ca7f23d817939daef2279269
openalex,LLM judge writing quality,broad,http-429,2026-08-24T14:46:10+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33230,""costUsd"":0.001,""daily",raw/openalex-016.json,f5a300bfb70ecf40cf1cf4b3151fef798835b262ca7f23d817939daef2279269
openalex,AI writing citation accuracy,broad,http-429,2026-08-24T14:46:10+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33230,""costUsd"":0.001,""daily",raw/openalex-017.json,f5a300bfb70ecf40cf1cf4b3151fef798835b262ca7f23d817939daef2279269
openalex,writing assistance collective diversity,broad,http-429,2026-08-24T14:46:10+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33230,""costUsd"":0.001,""daily",raw/openalex-018.json,f5a300bfb70ecf40cf1cf4b3151fef798835b262ca7f23d817939daef2279269
openalex,AI writing reader perception,broad,http-429,2026-08-24T14:46:10+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":33229,""costUsd"":0.001,""daily",raw/openalex-019.json,64e9e969d7cab8220b5e984fc33db1f6706a0ec1b6a91b4a0b87da07e4c269f3
