source,query,mode,status,started_at,result_count,error,raw_response,raw_sha256
openalex,generative AI writing,broad,http-429,2026-08-24T14:53:49+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":32770,""costUsd"":0.001,""daily",raw/openalex-001.json,8dba2c68a359feb10ff24a63cd81f3dc93d8ae97e328c28c520fa81f5efaf527
openalex,large language model academic writing,broad,http-429,2026-08-24T14:53:50+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":32770,""costUsd"":0.001,""daily",raw/openalex-002.json,8dba2c68a359feb10ff24a63cd81f3dc93d8ae97e328c28c520fa81f5efaf527
openalex,human AI collaborative writing,broad,http-429,2026-08-24T14:53:50+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":32770,""costUsd"":0.001,""daily",raw/openalex-003.json,8dba2c68a359feb10ff24a63cd81f3dc93d8ae97e328c28c520fa81f5efaf527
openalex,LLM writing feedback,broad,http-429,2026-08-24T14:53:51+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":32769,""costUsd"":0.001,""daily",raw/openalex-004.json,eb45e79ab5b046f788a09923e34941c5b934331fb603b4304478110f7774a182
openalex,ChatGPT scientific writing,broad,http-429,2026-08-24T14:53:51+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":32769,""costUsd"":0.001,""daily",raw/openalex-005.json,eb45e79ab5b046f788a09923e34941c5b934331fb603b4304478110f7774a182
openalex,generative AI prose quality,broad,http-429,2026-08-24T14:53:51+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":32769,""costUsd"":0.001,""daily",raw/openalex-006.json,eb45e79ab5b046f788a09923e34941c5b934331fb603b4304478110f7774a182
openalex,AI-assisted writing evaluation,broad,http-429,2026-08-24T14:53:51+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":32769,""costUsd"":0.001,""daily",raw/openalex-007.json,eb45e79ab5b046f788a09923e34941c5b934331fb603b4304478110f7774a182
openalex,AI writing economics,broad,http-429,2026-08-24T14:53:51+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":32768,""costUsd"":0.001,""daily",raw/openalex-008.json,79bbdb228d05125ce07f2cb81026266bb83a71ea0d157472ba0c7cf401ba49cd
openalex,generative AI revision feedback,broad,http-429,2026-08-24T14:53:52+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":32768,""costUsd"":0.001,""daily",raw/openalex-009.json,79bbdb228d05125ce07f2cb81026266bb83a71ea0d157472ba0c7cf401ba49cd
openalex,AI assisted essay revision,broad,http-429,2026-08-24T14:53:52+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":32768,""costUsd"":0.001,""daily",raw/openalex-010.json,79bbdb228d05125ce07f2cb81026266bb83a71ea0d157472ba0c7cf401ba49cd
openalex,human AI co-writing agency ownership,broad,http-429,2026-08-24T14:53:52+00:00,0,"HTTP 429: {""error"":""Rate limit exceeded"",""message"":""Insufficient budget. This request costs $0.001 but you only have $0 remaining. Resets at midnight UTC. Need more? Add funds at https://openalex.org/pricing"",""retryAfter"":32768,""costUsd"":0.001,""daily",raw/openalex-011.json,79bbdb228d05125ce07f2cb81026266bb83a71ea0d157472ba0c7cf401ba49cd
