bib_key,expected_doi,expected_title,expected_year,identifier,canonical_doi,canonical_title,canonical_year,title_similarity,status,raw_response,raw_sha256,error,reused_from_evidence
kobak2025delving,,Delving into {LLM}-assisted writing in biomedical publications through excess vocabulary,2025,arXiv:2406.07016,,,,,identifier-only,,,,no
juzek2025delve,,Why does {ChatGPT} ``delve'' so much? {E}xploring the sources of lexical overrepresentation in large language models,2025,arXiv:2412.11385,,,,,identifier-only,,,,no
shaib2025slop,,Measuring {AI} ``slop'' in text,2025,arXiv:2509.19163,,,,,identifier-only,,,,no
padmakumar2024writing,,Does writing with language models reduce content diversity?,2024,arXiv:2309.05196,,,,,identifier-only,,,,no
doshi2024generative,10.1126/sciadv.adn5290,Generative {AI} enhances individual creativity but reduces the collective diversity of novel content,2024,,10.1126/sciadv.adn5290,Generative AI enhances individual creativity but reduces the collective diversity of novel content,2024,1.0,verified,raw/evidence-doi-006-e-ext-004.json,6b39a267a7c67f1be86f4e4448c1d6daf275ab489d3139aae118ca4d7c6ee4d3,,yes
kirk2024understanding,,Understanding the effects of {RLHF} on {LLM} generalisation and diversity,2024,arXiv:2310.06452,,,,,identifier-only,,,,no
zhang2025verbalized,,Verbalized sampling: how to mitigate mode collapse and unlock {LLM} diversity,2025,arXiv:2510.01171,,,,,identifier-only,,,,no
sharma2024sycophancy,,Towards understanding sycophancy in language models,2024,arXiv:2310.13548,,,,,identifier-only,,,,no
singhal2023length,,A long way to go: investigating length correlations in {RLHF},2023,arXiv:2310.03716,,,,,identifier-only,,,,no
guo2023curious,,The curious decline of linguistic diversity: training language models on synthetic text,2023,arXiv:2311.09807,,,,,identifier-only,,,,no
gehrmann2019gltr,,{GLTR}: statistical detection and visualization of generated text,2019,arXiv:1906.04043,,,,,identifier-only,,,,no
mitchell2023detectgpt,,{DetectGPT}: zero-shot machine-generated text detection using probability curvature,2023,arXiv:2301.11305,,,,,identifier-only,,,,no
bao2024fastdetect,,Fast-{DetectGPT}: efficient zero-shot detection of machine-generated text via conditional probability curvature,2024,arXiv:2310.05130,,,,,identifier-only,,,,no
hans2024binoculars,,Spotting {LLMs} with {B}inoculars: zero-shot detection of machine-generated text,2024,arXiv:2401.12070,,,,,identifier-only,,,,no
liang2023detectors,10.1016/j.patter.2023.100779,{GPT} detectors are biased against non-native {E}nglish writers,2023,,10.1016/j.patter.2023.100779,GPT detectors are biased against non-native English writers,2023,1.0,verified,raw/bib-doi-015-liang2023detectors.json,ee209004edbeddee919be005cfccf60831c03960e0ae86e5e294b15726041f3e,,no
weberwulff2023testing,10.1007/s40979-023-00146-z,Testing of detection tools for {AI}-generated text,2023,,10.1007/s40979-023-00146-z,Testing of detection tools for AI-generated text,2023,1.0,verified,raw/bib-doi-016-weberwulff2023testing.json,d7b319c88b1ee2f956ed043f49612b127a523a1185a6c375b1a79a080ca69af4,,no
krishna2023paraphrasing,,"Paraphrasing evades detectors of {AI}-generated text, but retrieval is an effective defense",2023,arXiv:2303.13408,,,,,identifier-only,,,,no
lee2022coauthor,,{CoAuthor}: designing a human--{AI} collaborative writing dataset for exploring language model capabilities,2022,arXiv:2201.06796,,,,,identifier-only,,,,no
yuan2022wordcraft,10.1145/3490099.3511105,Wordcraft: story writing with large language models,2022,,10.1145/3490099.3511105,Wordcraft: Story Writing With Large Language Models,2022,1.0,verified,raw/bib-doi-019-yuan2022wordcraft.json,6c2e95ded0fde498654e8aa8660640d542c5f8f26850b7e54e8a8337358aae00,,no
chakrabarty2024salvage,,Can {AI} writing be salvaged? {M}itigating idiosyncrasies and improving human--{AI} alignment in the writing process through edits,2024,arXiv:2409.14509,,,,,identifier-only,,,,no
cheng2025humt,,{HumT DumT}: measuring and controlling human-like language in {LLMs},2025,arXiv:2502.13259,,,,,identifier-only,,,,no
