source,query,mode,status,started_at,result_count,error,raw_response,raw_sha256
openalex,generative AI writing,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,large language model academic writing,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,human AI collaborative writing,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,LLM writing feedback,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,ChatGPT scientific writing,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,generative AI prose quality,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,AI-assisted writing evaluation,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,AI writing economics,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,generative AI revision feedback,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,AI assisted essay revision,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,human AI co-writing agency ownership,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,language model writing feedback evaluation,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,generative AI workplace writing productivity,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,AI academic writing systematic review,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,AI writing disclosure authorship,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,LLM judge writing quality,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,AI writing citation accuracy,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,writing assistance collective diversity,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,AI writing reader perception,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,language model simulated student revisions,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,PRISMA S reporting literature searches,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,generative AI workplace email field experiment,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,large language models creative diversity writing,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,generative artificial intelligence productivity experiment college professionals,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,generative AI creativity collective diversity experiment,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,ChatGPT generated scientific abstracts human reviewers detection,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,human AI co-writing user demands writing process,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,systematic review AI assisted academic writing outcomes measurement,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,generative AI automated writing evaluation validity systematic review,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,LLM assisted writing in the wild collaboration behavior,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
openalex,generative AI workplace conversational assistant productivity heterogeneity,broad,not-run-offline,2026-08-24T10:40:36+00:00,0,,,
